subject,session,trial,list,id,cue,target,onset
63,1,106,6,28,strawberry,corn,1282037.97907036
63,1,107,6,41,navy,eggs,1282043.47874618
63,1,108,6,10,coast,blood,1282048.97840509
63,1,109,6,115,month,thread,1282054.47806611
63,1,110,6,32,massage,defense,1282059.977738
63,1,111,6,34,medal,dirty,1282065.47740174
63,1,112,6,39,document,drunk,1282070.97707665
63,1,113,6,103,junk,star,1282076.4767425
63,1,114,6,87,yard,scare,1282081.97641137
63,1,115,6,13,salesman,bone,1282087.47608326
63,1,116,6,116,illness,tired,1282092.97578896
63,1,117,6,76,goose,plane,1282098.47541859
63,1,118,6,16,burst,breathe,1282103.97508988
63,1,119,6,19,instant,cake,1282109.47475512
63,1,120,6,14,interest,book,1282114.97442762
64,1,1,1,51,vampire,groom,1280825.05716103
64,1,2,1,3,policeman,animal,1280830.55694113
64,1,3,1,55,chef,hungry,1280836.05667868
64,1,4,1,115,gold,thread,1280841.5564289
64,1,5,1,97,state,soup,1280847.05617067
64,1,6,1,114,retreat,thin,1280852.55593719
64,1,7,1,32,hook,defense,1280858.05567715
64,1,8,1,47,burst,forever,1280863.55544759
64,1,9,1,37,novel,draw,1280869.05518423
64,1,10,1,73,writer,orange,1280874.55494411
64,1,11,1,33,sweetheart,dirt,1280880.0547046
64,1,12,1,106,shower,street,1280885.55445874
64,1,13,1,120,dressing,window,1280891.05422436
64,1,14,1,28,print,corn,1280896.55394772
64,1,15,1,31,revolution,deer,1280902.05370428
64,1,16,1,100,trailer,spider,1280907.55345541
64,1,17,1,9,garbage,bird,1280913.0532174
64,1,18,1,52,type,headache,1280918.55295283
64,1,19,1,92,moonlight,sick,1280924.05272479
64,1,20,1,16,port,breathe,1280929.55246505
64,1,21,2,101,fraud,square,1281203.62350227
64,1,22,2,12,document,boat,1281209.12326004
64,1,23,2,119,territory,west,1281214.62300574
64,1,24,2,77,junk,pool,1281220.1227626
64,1,25,2,86,front,rules,1281225.62252037
64,1,26,2,108,detail,sweat,1281231.12226787
64,1,27,2,25,month,clothes,1281236.62202443
64,1,28,2,91,illness,short,1281242.12177828
64,1,29,2,61,warehouse,lawn,1281247.62152971
64,1,30,2,45,permission,flag,1281253.12127027
64,1,31,2,18,neighbor,butter,1281258.62103468
64,1,32,2,54,soda,horse,1281264.12080633
64,1,33,2,34,scar,dirty,1281269.62055715
64,1,34,2,27,debate,copy,1281275.12031704
64,1,35,2,11,tragedy,board,1281280.62004311
64,1,36,2,68,bluff,mistake,1281286.11978669
64,1,37,2,8,class,belt,1281291.61955472
64,1,38,2,29,campus,cracker,1281297.11931038
64,1,39,2,103,navy,star,1281302.61904339
64,1,40,2,46,impulse,flowers,1281308.11880478
64,1,41,3,2,interest,angel,1281549.87461375
64,1,42,3,81,gang,puzzle,1281555.37437031
64,1,43,3,88,claim,scratch,1281560.87412023
64,1,44,3,116,massage,tired,1281566.37387709
64,1,45,3,6,pump,bear,1281571.87361675
64,1,46,3,1,department,airplane,1281577.37338327
64,1,47,3,75,memory,pizza,1281582.87313681
64,1,48,3,60,employment,laugh,1281588.37288462
64,1,49,3,64,curtain,loud,1281593.87265899
64,1,50,3,117,ashes,train,1281599.37239593
64,1,51,3,26,furniture,cold,1281604.87214434
64,1,52,3,43,concert,fall,1281610.37188732
64,1,53,3,72,barrel,nephew,1281615.87165957
64,1,54,3,24,victor,church,1281621.37140346
64,1,55,3,41,powder,eggs,1281626.87115941
64,1,56,3,74,appeal,pepper,1281632.37091356
64,1,57,3,107,link,student,1281637.87066982
64,1,58,3,44,trousers,finish,1281643.37041853
64,1,59,3,59,circus,land,1281648.87018113
64,1,60,3,66,lieutenant,minus,1281654.36992018
64,1,61,4,67,kindness,mirror,1281882.70965569
